robot_name,symbol,side,entry_time,exit_time,entry_price,exit_price,qty,pnl,fee,order_type,averaging_level,position_id,log_time,margin_used,net_pnl
Sol,SOLUSDT.P,long,2025-09-15 14:45:00,2025-09-15 21:45:00,,,472.0,682.2046336,0.0,osengine_log,2.0,22613,2026-05-25 15:48:15,,682.2046336
Sol,SOLUSDT.P,long,2025-09-15 14:45:00,2025-09-15 23:00:00,234.0,233.58,315.0,-180.904941,0.0,osengine_log,1.0,22612,2026-05-25 15:48:15,,-180.904941
